lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-1_ses-1_T1w.long.sub-1_base	2657.0	1293.0	5500.0	2590.0	2616.0	10024.0	11764.0	11193.0	3119.0	10503.0	7206.0	5518.0	5658.0	10751.0	2549.0	3525.0	4298.0	2178.0	3807.0	2497.0	9286.0	3419.0	14796.0	9878.0	2767.0	15625.0	21799.0	14064.0	12600.0	11575.0	881.0	3058.0	998.0	7554.0	1112398.0	1525148.075844
sub-1_ses-2_T1w.long.sub-1_base	2607.0	1241.0	5461.0	2582.0	2591.0	9817.0	11481.0	10987.0	3060.0	10284.0	7097.0	5422.0	5502.0	10718.0	2534.0	3452.0	4239.0	2162.0	3766.0	2486.0	9210.0	3357.0	14687.0	9685.0	2697.0	15368.0	21396.0	13970.0	12474.0	11485.0	850.0	2976.0	1005.0	7463.0	1113885.0	1525148.075844
sub-1_ses-3_T1w.long.sub-1_base	2647.0	1315.0	5500.0	2616.0	2528.0	9823.0	11679.0	11071.0	3102.0	10353.0	7161.0	5435.0	5606.0	10637.0	2566.0	3554.0	4304.0	2171.0	3805.0	2438.0	9475.0	3411.0	15026.0	9899.0	2781.0	15955.0	21806.0	14276.0	12619.0	11674.0	876.0	3043.0	997.0	7434.0	1120624.0	1525148.075844
sub-1_ses-4_T1w.long.sub-1_base	2651.0	1320.0	5558.0	2608.0	2403.0	9978.0	11608.0	11163.0	3116.0	10523.0	7271.0	5444.0	5632.0	10658.0	2553.0	3505.0	4251.0	2185.0	3784.0	2409.0	9351.0	3453.0	14857.0	9969.0	2810.0	15923.0	21879.0	14230.0	12630.0	11513.0	884.0	3081.0	1024.0	7488.0	1122177.0	1525148.075844
sub-1_ses-5_T1w.long.sub-1_base	2639.0	1298.0	5505.0	2589.0	2540.0	9901.0	11478.0	11105.0	3091.0	10405.0	7250.0	5491.0	5632.0	10814.0	2595.0	3424.0	4254.0	2119.0	3786.0	2469.0	9262.0	3378.0	14678.0	9708.0	2708.0	15690.0	21737.0	13957.0	12528.0	11524.0	907.0	3048.0	1007.0	7651.0	1111986.0	1525148.075844
sub-1_ses-6_T1w.long.sub-1_base	2636.0	1312.0	5459.0	2610.0	2624.0	9979.0	11580.0	11226.0	3149.0	10328.0	7159.0	5487.0	5915.0	10803.0	2613.0	3520.0	4275.0	2162.0	3852.0	2489.0	9406.0	3426.0	14847.0	9816.0	2768.0	15669.0	21818.0	14069.0	12689.0	11609.0	889.0	3171.0	988.0	7619.0	1117224.0	1525148.075844
sub-1_ses-7_T1w.long.sub-1_base	2627.0	1277.0	5417.0	2540.0	2427.0	9825.0	11380.0	11100.0	3068.0	10216.0	7193.0	5354.0	5570.0	10691.0	2534.0	3395.0	4169.0	2126.0	3773.0	2430.0	9122.0	3348.0	14574.0	9614.0	2774.0	15605.0	21468.0	13803.0	12479.0	11399.0	885.0	3009.0	987.0	7532.0	1108821.0	1525148.075844
sub-1_ses-8_T1w.long.sub-1_base	2651.0	1304.0	5629.0	2585.0	2489.0	10038.0	11723.0	11277.0	3147.0	10619.0	7272.0	5450.0	5656.0	10891.0	2561.0	3530.0	4363.0	2220.0	3884.0	2478.0	9485.0	3451.0	15038.0	9878.0	2751.0	16033.0	21915.0	14125.0	12890.0	11735.0	904.0	3097.0	1013.0	7545.0	1122685.0	1525148.075844
sub-1_ses-9_T1w.long.sub-1_base	2601.0	1279.0	5447.0	2551.0	2490.0	9838.0	11670.0	10946.0	3110.0	10444.0	7171.0	5403.0	5617.0	10631.0	2546.0	3508.0	4299.0	2171.0	3757.0	2538.0	9396.0	3394.0	14857.0	9734.0	2740.0	15642.0	21681.0	14139.0	12557.0	11560.0	902.0	3030.0	986.0	7397.0	1117002.0	1525148.075844
sub-1_ses-10_T1w.long.sub-1_base	2641.0	1278.0	5530.0	2622.0	2544.0	9897.0	11605.0	11058.0	3115.0	10486.0	7209.0	5419.0	5655.0	10764.0	2593.0	3449.0	4227.0	2157.0	3810.0	2442.0	9155.0	3432.0	14728.0	9843.0	2753.0	15784.0	21732.0	14138.0	12568.0	11537.0	894.0	3134.0	1028.0	7598.0	1118910.0	1525148.075844
